created_at,text,Polarity,Subjectivity
Tue Apr 19 01:32:31 +0000 2016,RT @TOIJewishTimes: How Bernie Sanders just became the rabbi of the Jewish left https://t.co/LtCU9xcwnf,-0.212468,0
Tue Apr 19 01:32:31 +0000 2016,RT @granisnark12: Again some of my very reasons for not wanting to see Bernie in the Presidency https://t.co/LP4lDGTZ5D,0.2,0.3
Tue Apr 19 01:32:33 +0000 2016,"RT @TYTNetwork: Bernie Sanders Rally: Washington Square Park, NYC https://t.co/9OfcyBUoEZ via @YouTube @majorityfm",-0.614794,0
Tue Apr 19 01:32:34 +0000 2016,"RT @exmuslimsofna: Bernie Sanders Voices Concerns About Role Of Saudi Royal Family In Terrorism 
https://t.co/O6JsKIU0uC",-0.500908,0
Tue Apr 19 01:32:34 +0000 2016,I liked a @YouTube video from @blacktreemedia https://t.co/cmDOmUwk48 Spike Lee Gets Candid With Sen. Bernie Sanders In Latest,0.5666666666666667,0.8333333333333334
Tue Apr 19 01:32:34 +0000 2016,@BroadStHockey u think Bernie Sanders can help the Flyers power play?,0,0
Tue Apr 19 01:32:35 +0000 2016,Bernie Sanders #FEELtheBERN HUGE 8ft BANNER Sign #democrat  #dnc #dnc #p2 #DEMS https://t.co/MiJZOG1Ecf,0.4000000000000001,0.9
Tue Apr 19 01:32:36 +0000 2016,RT @Libertea2012: Why Bernie Sanders' Crazy High Tax Rates Aren't Really That Crazy https://t.co/83lBFbzgZ7 #NotMeUs https://t.co/tjpM8WUp1L,-0.20999999999999996,0.635
Tue Apr 19 01:32:36 +0000 2016,"RT @LisaVikingstad: Why you should vote for Bernie Sanders over Hillary Clinton
https://t.co/I3Rd8jksWS",0.389078,0
Tue Apr 19 01:32:37 +0000 2016,Josh Hutcherson of 'Hunger Games' stumps for Bernie Sanders on eve of Iowa vote | People | News | The Independent https://t.co/FWFSfujQrj,-0.108256,0.125
Tue Apr 19 01:32:38 +0000 2016,RT @Dbo2353: CNN finally saying Bernie Sanders has a chance to win the Democratic nomination. About time.,0.4,0.7
Tue Apr 19 01:32:39 +0000 2016,"Bernie Sanders gains in national polls as millions of supporters in two of the biggest states remain ineligible

https://t.co/5hKuKpRImz",-0.0998432,0
Tue Apr 19 01:32:39 +0000 2016,RT @TNWomen4Bernie: #DefendDemocracy NEW: Powerful Veterans for Bernie Sanders Ad Will Move You https://t.co/fhiBRFa6lR via @vets4bernie,0.21818181818181817,0.7272727272727273
Tue Apr 19 01:32:40 +0000 2016,RT @CNN: These photos shed new light on Bernie Sanders' early years https://t.co/ZyCrPLL6KY https://t.co/PwnZwsWWYP,0.21212121212121213,0.48484848484848486
Tue Apr 19 01:32:40 +0000 2016,Bernie Sanders is slight doing similar damage to the democratic party that Donald Trump is doing to the GOP,-0.08333333333333333,0.2833333333333333
Tue Apr 19 01:32:41 +0000 2016,Watching Rachel Maddow Bernie Sanders campaign accuse Hilary of campaign finance fraud??how low is this guy going to go???,0,0.3
Tue Apr 19 01:32:42 +0000 2016,Sanders' Snowden Response Proves He Doesn't Want a #Revolution https://t.co/fuPlkxhzE4 via @HuffPostPol,0.3,0
Tue Apr 19 01:32:42 +0000 2016,"Bernie Sanders is now lying about Clinton and the party he wants to lead are corrupt.  This is insane, he is not... https://t.co/6tdQyzcKot",-0.43333333333333335,0.7000000000000001
Tue Apr 19 01:32:44 +0000 2016,"So, what's the total for all of #NY state &amp; #NYC rallies I wonder? #NotMeUs  https://t.co/hdyUTgXRwk",0.484454,0.75
Tue Apr 19 01:32:45 +0000 2016,"RT @JenniferMascia: ""We made a call to Bernie Sanders. It did not go well."" @MamaRedfield, who lost her daughter in the Aurora massacre",0,0
Tue Apr 19 01:32:47 +0000 2016,I voted for Bernie Sanders because I think is spell casting ability is way higher than Hillary's.,0.25,0.5
Tue Apr 19 01:32:49 +0000 2016,RT @Vets4Bernie: INSPIRING New Veterans for Bernie Sanders Ad Will Move You. #Vets4Bernie #NYPrimary https://t.co/A42shnlyIB,0.3181818181818182,0.7272727272727273
Tue Apr 19 01:32:49 +0000 2016,RT @cann4ing: NEW: Powerful Veterans for Bernie Sanders Ad Will Move You https://t.co/gVExAEwfWO via @vets4bernie,0.21818181818181817,0.7272727272727273
Tue Apr 19 01:32:50 +0000 2016,"Fired up dude and spot on. Screw the system, it's time to kick its ass one way or another. https://t.co/cBuHivFIgI",-0.0874047,0
Tue Apr 19 01:32:51 +0000 2016,"RT @DailyNewsBin: Hillary Clinton slam dunks Bernie Sanders after he falsely accuses her of fundraising violations

https://t.co/gC7LMxfGOF",-0.4000000000000001,0.6
Tue Apr 19 01:32:51 +0000 2016,"RT @SusanMaylone: Senator Bernie Sanders
#FeeltheBern
Get out the vote NY! https://t.co/i9GlVrZQCq",0.484454,0
Tue Apr 19 01:32:52 +0000 2016,RT @Dbo2353: CNN finally saying Bernie Sanders has a chance to win the Democratic nomination. About time.,0.4,0.7
Tue Apr 19 01:32:52 +0000 2016,"Bernie Sanders voted for black people to go to prison, please explain why Bernie broke up our families: https://t.co/NDdISrpnOC",-0.16666666666666666,0.43333333333333335
Tue Apr 19 01:32:53 +0000 2016,"@BernieSanders fooling a LOT of people! #MorningJoke #AndreaMitchell sing his praises,as does #Trump.Any questions?  https://t.co/Wi50SaZlYZ",0.484454,0
Tue Apr 19 01:32:53 +0000 2016,RT @MarkRuffalo: BNR - 'Bernie's Record Setting Rally In Prospect Park' &amp; 'Sanders Tours Public Housing Projects' https://t.co/xCdgfVMVxb,-0.0291531,0.06666666666666667
Tue Apr 19 01:32:54 +0000 2016,RT @CapehartJ: What George Clooney understands that Bernie Sanders doesn't. https://t.co/SUvdaNvSBs,-0.154322,0
Tue Apr 19 01:32:54 +0000 2016,Radioactive: Tax Return Confirms Bernie Sanders Financially Benefits From Nuclear Waste Poisoning Attempts  https://t.co/nEM8lFa2bn,-0.1,0
Tue Apr 19 01:32:55 +0000 2016,See the latest post from Bernie Sanders on Google https://t.co/ETaS57PDGQ,0.5,0.9
Tue Apr 19 01:32:55 +0000 2016,The Hillary Victory Fund hacked my email account AND I'M MAD AS HELL ABOUT IT! https://t.co/X6r2xeenPi,-0.78125,1
Tue Apr 19 01:32:55 +0000 2016,MUST WATCH: Dylan Ratigan rant is one of the best in TV news history...  https://t.co/VkyzR4VI4G,1,0.3
Tue Apr 19 01:32:55 +0000 2016,"Pelosi: ""Fabulous"" Bernie Sanders ""Might Win The Nomination"" https://t.co/ZeyHaBH3NQ",0.6000000000000001,0.7
Tue Apr 19 01:32:57 +0000 2016,RT @SusanMaylone: Is if everyone get's out and Votes! Let's do it New Yorkers #FeeltheBern https://t.co/Awsx1nJB42,0.13636363636363635,0.45454545454545453
Tue Apr 19 01:32:58 +0000 2016,RT @billboardbiz: How Bernie Sanders Is Rocking the Vote With the Help of a DJ &amp; Former Punk Rock Promoter https://t.co/XGRQZS4okx,-0.541728,0
Tue Apr 19 01:32:58 +0000 2016,@BruceEnberg @Coco_Wms #Bernie Sanders  doesn't act like he cares about the party that is carrying him .,0,0
Tue Apr 19 01:32:58 +0000 2016,RT @1978BABY: Bernie Sanders hasn't done a damn thing to help the Democrats win back Congress #ImWithHer,0.4,0.2
Tue Apr 19 01:33:01 +0000 2016,RT @antoniodelotero: a trump rally vs. a bernie sanders rally https://t.co/YHZSLGeI2i,0.389078,0
Tue Apr 19 01:33:01 +0000 2016,RT @CanProveIt: Danny Glover introduces Bernie Sanders at Long Island City South Park Rally (4-18-16) https://t.co/rcPJZ1jLwL,-0.05,0.4
Tue Apr 19 01:33:02 +0000 2016,RT @Aubs89: Math vs. Bernie Sanders https://t.co/ShP4vnLkBB,0.0818688,0
Tue Apr 19 01:33:02 +0000 2016,Bernie Sanders is closing the national polling gap with Hillary Clinton https://t.co/Q8MtnuX3JK via @voxdotcom,-0.0751676,0
Tue Apr 19 01:33:02 +0000 2016,"RT @LisaVikingstad: Why you should vote for Bernie Sanders over Hillary Clinton
https://t.co/I3Rd8jksWS",0.389078,0
Tue Apr 19 01:33:07 +0000 2016,RT @NCForBernie: Bernie Sanders Just Accused Hillary Clinton of Violating Campaign Finance Laws https://t.co/Vq09aE8BVD #FeelTheBern,-0.0907145,0
Tue Apr 19 01:33:07 +0000 2016,RT @RadkoClarke16: @TheRevBobLevy Christ I think Bernie Sanders is scoring more lately than the Flyers,0.1,0.55
Tue Apr 19 01:33:07 +0000 2016,@fridapoco @hardball_chris @HillaryClinton @BernieSanders https://t.co/9Pe0uyJVjT &amp; https://t.co/ofFsizjPBV It is not me sir - I wouldn't.,0.229306,0
Tue Apr 19 01:33:08 +0000 2016,"Will rebels take N.Y.?: Bernie Sanders and Donald Trump face key tests in Tuesday's vote, says Errol Louis. https://t.co/y2pgPCDy2N",0.117802,1
Tue Apr 19 01:33:08 +0000 2016,"Will rebels take N.Y.?: Bernie Sanders and Donald Trump face key tests in Tuesday's vote, says Errol Louis. https://t.co/lW3sjrVUsR",0.117802,1
Tue Apr 19 01:33:09 +0000 2016,"Will rebels take N.Y.?: Bernie Sanders and Donald Trump face key tests in Tuesday's vote, says Errol Louis. https://t.co/jCGZemDanL",0.117802,1
Tue Apr 19 01:33:10 +0000 2016,LIVE Bernie Sanders Long Island City South Park New York Rally (4-18-16) https://t.co/ZdqKOZEPoi via @YouTube #BringUsTheHomeRunNY!,0.08560606060606059,0.4515151515151515
Tue Apr 19 01:33:11 +0000 2016,@maddow bernie sanders and current wife are just pathetic hypocritical liars. shady slimy nasty from the start. sadly disgusting,-0.65,0.805
Tue Apr 19 01:33:11 +0000 2016,RT @RoseAnnDeMoro: Don't the Words Bernie Sanders &amp; President look so right together?  #FeelTheBern https://t.co/vy9hnAOmPq,0.2857142857142857,0.5357142857142857
Tue Apr 19 01:33:11 +0000 2016,I added a video to a @YouTube playlist https://t.co/h5hrOJ1ytG Veterans for Bernie Sanders,-0.281741,0
Tue Apr 19 01:33:11 +0000 2016,"RT @LisaVikingstad: Why you should vote for Bernie Sanders over Hillary Clinton
https://t.co/I3Rd8jksWS",0.389078,0
Tue Apr 19 01:33:12 +0000 2016,The 2016 elections is turning the Filipino people against each other. Jusko Bernie Sanders we need you.,-0.125,0.375
Tue Apr 19 01:33:13 +0000 2016,RT @SusanMaylone: Is if everyone get's out and Votes! Let's do it New Yorkers #FeeltheBern https://t.co/Awsx1nJB42,0.13636363636363635,0.45454545454545453
Tue Apr 19 01:33:13 +0000 2016,RT @GeorgeLA96: Proud of all my veteran brothers and sisters in @Vets4Bernie!  https://t.co/N45tKXbd4Q,0.4,0.5
Tue Apr 19 01:33:13 +0000 2016,RT @RoseAnnDeMoro: Don't the Words Bernie Sanders &amp; President look so right together?  #FeelTheBern https://t.co/vy9hnAOmPq,0.2857142857142857,0.5357142857142857
Tue Apr 19 01:33:13 +0000 2016,RT @DunbarMerrill: NEW: Powerful Veterans for Bernie Sanders Ad Will Move You https://t.co/zFixrqptGp,0.21818181818181817,0.7272727272727273
Tue Apr 19 01:33:15 +0000 2016,"RT @thehill: ""Bernie Sanders and his leeches"" https://t.co/FHU9WKDsKA https://t.co/BZrQfgVrLZ",-0.242994,0
Tue Apr 19 01:39:52 +0000 2016,"@erickuo AFTER PUBLIC ANGUISH, BRONX COUNCILMAN ENDORSES BERNIE SANDERS ON EVE OF PRIMARY!

https://t.co/pfR35RnihN",0.25,0.2833333333333333
Tue Apr 19 01:39:54 +0000 2016,Both Clinton's and Sanders' health care plans have winners and losers among the poor.  https://t.co/h25qB3ViRv,-0.30000000000000004,0.4
Tue Apr 19 01:39:55 +0000 2016,RT @Vets4Bernie: INSPIRING New Veterans for Bernie Sanders Ad Will Move You. #Vets4Bernie #NYPrimary https://t.co/A42shnlyIB,0.3181818181818182,0.7272727272727273
Tue Apr 19 01:39:55 +0000 2016,"@metrovelvet AFTER PUBLIC ANGUISH, BRONX COUNCILMAN ENDORSES BERNIE SANDERS ON EVE OF PRIMARY!

https://t.co/pfR35RnihN",0.25,0.2833333333333333
Tue Apr 19 01:39:56 +0000 2016,Can @BernieSanders bounce back from this? #OneDollarAndNinetyFiveCentghazi https://t.co/aoa0q2yVNe,0.484454,0
Tue Apr 19 01:39:58 +0000 2016,Pavlich: Sanders and his leeches https://t.co/eYndRpTcEX SPOT ON... Name one noteworthy Bernie accomplishment??? I can't! BS = FREELOADER!,-0.230886,0
Tue Apr 19 01:39:58 +0000 2016,"RT @LisaVikingstad: Why you should vote for Bernie Sanders over Hillary Clinton
https://t.co/I3Rd8jksWS",0.389078,0
